City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
hithadhoo,-0.6,73.0833,28.57,72,32,5.66,MV,1657671279
tombouctou,20.0,-3.0,33.52,30,26,4.39,ML,1657671279
salalah,17.0151,54.0924,25.05,94,100,3.09,OM,1657671013
zhovti vody,48.3473,33.5003,14.32,54,13,2.68,UA,1657671280
ikwiriri,-7.9562,38.9716,18.3,94,7,1.05,TZ,1657671280
naini tal,29.3974,79.4469,16.63,75,85,1.2,IN,1657671280
hualmay,-11.0964,-77.6139,16.6,78,6,4.34,PE,1657671280
erzin,36.9559,36.2,23.08,91,5,0.11,TR,1657671280
suluq,31.6682,20.2521,23.91,69,0,4.5,LY,1657671280
olafsvik,64.8945,-23.7142,8.6,70,74,3.78,IS,1657671010
fare,-16.7,-151.0167,25.82,67,5,3.58,PF,1657671280
druzhba,52.0428,33.9453,11.51,77,19,5.72,UA,1657671280
naro moru,-0.1676,37.0213,10.94,89,83,4.57,KE,1657671281
takehara,34.3383,132.9167,25.73,71,92,1.47,JP,1657671281
honiara,-9.4333,159.95,30.47,63,13,3.38,SB,1657671106
bambanglipuro,-7.95,110.2833,24.77,85,77,2.0,ID,1657671281
tiznit,29.5833,-9.5,24.16,56,63,1.38,MA,1657671281
santa maria,-29.6842,-53.8069,7.13,85,8,0.74,BR,1657671006
salinopolis,-0.6136,-47.3561,24.91,90,69,3.75,BR,1657671281
lisakovsk,52.5369,62.4936,18.59,87,24,2.79,KZ,1657671281
ngama,11.7833,17.1667,25.56,62,100,3.21,TD,1657671057
taranagar,28.6709,75.0351,32.45,59,42,4.13,IN,1657671281
zhezkazgan,47.8043,67.7144,21.27,38,0,6.35,KZ,1657671282
boende,-0.2167,20.8667,23.83,65,97,0.84,CD,1657671282
yenagoa,4.9247,6.2642,22.79,89,99,1.77,NG,1657671282
berbera,10.4396,45.0143,31.84,38,21,13.04,SO,1657671282
lishui,28.4604,119.9103,29.4,83,66,1.15,CN,1657671282
krasnogvardeyets,52.6804,52.3635,23.63,59,91,3.38,RU,1657671282
weimar,50.9833,11.3167,17.71,80,84,1.77,DE,1657671282
aksarka,66.5606,67.7975,12.36,86,100,3.02,RU,1657671282
karatau,43.1667,70.4667,20.64,43,7,1.64,KZ,1657671283
shieli,44.1667,66.75,25.89,29,4,4.49,KZ,1657671283
kiunga,-6.1219,141.2906,23.4,98,99,1.58,PG,1657671283
yar-sale,66.8333,70.8333,9.95,58,81,2.22,RU,1657671283
larkana,27.5551,68.2141,33.12,60,2,3.88,PK,1657671283
muisne,0.6,-80.0333,23.31,86,98,4.25,EC,1657671283
sarkikaraagac,38.0794,31.3664,17.63,50,3,1.28,TR,1657671283
kizilskoye,52.7255,58.8937,17.03,96,94,2.65,RU,1657671283
mengyin,35.7069,117.9264,25.21,84,100,2.25,CN,1657671284
kharp,66.8014,65.8081,11.66,92,100,1.41,RU,1657671284
moanda,-1.5575,13.2178,23.8,57,95,1.47,GA,1657671284
san vicente,-26.6167,-54.1333,6.3,95,1,1.33,AR,1657671284
kahului,20.8947,-156.47,28.01,75,40,10.29,US,1657671284
petatlan,17.5167,-101.2667,31.89,71,66,2.62,MX,1657671284
poyarkovo,49.6,128.6833,24.07,71,6,3.73,RU,1657671284
abu samrah,35.3029,37.1841,22.97,70,0,4.07,SY,1657671285
emmett,43.8735,-116.4993,40.31,14,2,0.79,US,1657671285
lompoc,34.6391,-120.4579,29.45,71,0,7.2,US,1657671285
lubango,-14.9172,13.4925,13.57,36,0,1.11,AO,1657671285
saint anthony,45.0205,-93.218,28.85,45,75,8.75,US,1657671285
luangwa,-15.6167,30.4167,19.86,58,85,1.89,ZM,1657671285
caloundra,-26.8,153.1333,16.05,72,0,1.34,AU,1657671285
harper,4.375,-7.7169,24.21,82,100,4.72,LR,1657671285
portland,45.5234,-122.6762,35.11,38,40,5.14,US,1657670881
codrington,-38.2667,141.9667,11.35,61,55,5.58,AU,1657671286
altay,47.8667,88.1167,17.84,68,99,0.83,CN,1657671286
wajir,1.7471,40.0573,22.24,61,90,7.38,KE,1657671286
nalut,30.3333,10.85,27.33,30,0,5.22,LY,1657671286
marolambo,-20.05,48.1167,13.37,98,14,1.2,MG,1657671286
urumqi,43.801,87.6005,20.53,49,20,3.0,CN,1657671286
ormond beach,29.2858,-81.0559,32.36,84,75,2.57,US,1657671286
kaeo,-35.1,173.7833,18.51,84,96,5.51,NZ,1657671287
tadine,-21.55,167.8833,24.86,82,34,6.93,NC,1657671287
la ronge,55.1001,-105.2842,21.93,45,23,3.29,CA,1657671287
phuket,8.0,98.25,28.96,88,75,3.09,TH,1657671169
pavlohrad,48.5167,35.8667,15.25,60,27,0.39,UA,1657671287
do gonbadan,30.3586,50.7981,31.1,21,9,1.41,IR,1657671100
pangai,-19.8,-174.35,25.73,74,70,6.51,TO,1657671287
pudozh,61.8099,36.5345,17.24,96,92,1.74,RU,1657671287
cockburn town,21.4612,-71.1419,27.5,85,6,7.8,TC,1657671196
kulunda,52.566,78.9385,15.68,73,14,4.21,RU,1657671288
salta,-24.7859,-65.4117,6.99,61,0,0.89,AR,1657671187
itaporanga,-7.3044,-38.1503,23.58,69,87,3.54,BR,1657671288
matagami,49.7502,-77.6328,16.48,63,25,5.67,CA,1657671288
lokosovo,61.1333,74.8167,11.87,95,100,1.4,RU,1657671288
mount isa,-20.7333,139.5,13.87,33,3,5.66,AU,1657671288
savannah bight,16.45,-85.85,27.91,85,97,10.65,HN,1657671288
bykovo,55.6361,38.0803,15.23,94,0,1.0,RU,1657671288
tucupita,9.0622,-62.051,23.76,99,80,1.79,VE,1657671288
california city,35.1258,-117.9859,39.43,8,0,7.72,US,1657671288
aklavik,68.2191,-135.0107,13.65,59,87,6.55,CA,1657671288
coahuayana,18.7333,-103.6833,29.64,69,75,2.77,MX,1657671289
maturin,9.75,-63.1767,23.47,98,96,2.33,VE,1657671289
taruma,-22.7467,-50.5772,18.05,67,74,1.88,BR,1657671289
euclid,41.5931,-81.5268,26.6,62,0,4.12,US,1657671289
acarau,-2.8856,-40.12,25.44,85,65,6.43,BR,1657671289
yoichi,43.2039,140.7703,21.81,89,100,1.63,JP,1657671289
shenkursk,62.1091,42.896,16.65,94,24,2.09,RU,1657671289
bubaque,11.2833,-15.8333,27.19,81,72,4.53,GW,1657671289
ushumun,52.7833,126.5333,22.79,68,90,4.92,RU,1657671290
hellvik,59.9156,5.781,14.32,91,95,2.42,NO,1657671290
henties bay,-22.116,14.2845,12.31,90,0,1.66,NA,1657671290
maple creek,49.9168,-109.4848,29.97,30,80,5.21,CA,1657671290
bodaybo,57.8506,114.1933,19.18,71,96,0.93,RU,1657671290
ishigaki,24.3448,124.1572,29.65,74,41,4.15,JP,1657671290
ardahan,41.1087,42.7022,10.72,94,7,1.38,TR,1657671290
amga,60.8953,131.9608,18.93,90,100,0.42,RU,1657671290
bandar-e lengeh,26.5579,54.8807,31.99,81,64,4.28,IR,1657670992
the valley,18.217,-63.0578,28.92,79,100,8.01,AI,1657671282
vila,42.0304,-8.1588,24.49,61,68,1.45,PT,1657671004
powell river,49.8496,-124.5361,23.93,66,63,3.76,CA,1657671281
cascais,38.6979,-9.4215,28.64,52,100,1.79,PT,1657671290
karasjok,69.4719,25.5112,14.6,84,27,2.15,NO,1657671291
kunming,25.0389,102.7183,19.93,83,0,1.54,CN,1657671291
terrace,54.5163,-128.6035,11.11,96,100,1.39,CA,1657671291
alenquer,-1.9417,-54.7383,25.18,83,85,1.7,BR,1657671291
zambezi,-13.5432,23.1047,13.09,50,0,3.31,ZM,1657671291
brezovo,42.35,25.0833,18.12,52,3,2.04,BG,1657671292
bowen,-20.0167,148.2333,18.61,55,0,4.9,AU,1657671292
puksoozero,62.5903,40.6066,15.76,96,13,2.04,RU,1657671292
grand gaube,-20.0064,57.6608,20.77,67,63,3.13,MU,1657671292
tigil,57.8,158.6667,26.1,49,12,4.71,RU,1657671292
sirjan,29.452,55.6814,23.34,14,8,6.87,IR,1657671069
puri,19.8,85.85,27.29,86,72,4.03,IN,1657671292
eastlake,41.6539,-81.4504,26.62,62,0,4.12,US,1657671292
santiago del estero,-27.7951,-64.2615,11.4,30,0,4.06,AR,1657671111
magrath,49.4167,-112.8686,31.33,23,49,3.17,CA,1657671292
stornoway,58.2093,-6.3865,11.63,88,75,4.63,GB,1657671021
myitkyina,25.3833,97.4,25.26,96,70,0.45,MM,1657671292
sierra vista,31.5545,-110.3037,32.12,56,75,5.66,US,1657671293
kismayo,-0.3582,42.5454,23.84,79,78,6.69,SO,1657671293
nyimba,-14.5566,30.8149,18.73,55,84,3.5,ZM,1657671293
lakhdenpokhya,61.5198,30.1992,15.61,99,91,2.56,RU,1657671293
gort,53.0664,-8.8167,11.86,92,5,1.14,IE,1657671293
bonthe,7.5264,-12.505,24.26,90,49,2.77,SL,1657671293
andenes,69.3143,16.1194,14.99,77,75,8.23,NO,1657671293
ambon,-3.6954,128.1814,25.69,15,100,4.45,ID,1657671293
palmerston,-12.486,130.9833,19.96,36,100,5.9,AU,1657671293
port moresby,-9.4431,147.1797,27.73,72,34,3.64,PG,1657671294
gijon,43.5357,-5.6615,25.14,95,0,1.34,ES,1657670826
wanaka,-44.7,169.15,3.95,95,100,1.31,NZ,1657671294
svetlogorsk,52.6333,29.7333,11.77,96,100,9.64,BY,1657671294
inta,66.0317,60.1659,18.11,87,78,4.75,RU,1657671294
nioki,-2.7167,17.6833,24.38,40,100,1.31,CD,1657671294
pangody,65.85,74.4859,10.34,64,0,2.49,RU,1657671294
buala,-8.145,159.5921,28.77,73,45,4.41,SB,1657671206
marienburg,54.0359,19.0266,17.29,79,4,6.26,PL,1657671048
houma,29.5958,-90.7195,27.22,85,0,1.54,US,1657671294
berdigestyakh,62.0989,126.6992,20.83,70,97,0.45,RU,1657671295
alice springs,-23.7,133.8833,6.75,70,0,1.54,AU,1657671295
vung tau,10.346,107.0843,25.31,89,100,8.14,VN,1657671295
labuhan,-6.8844,112.2051,25.24,85,35,2.14,ID,1657671295
prachuap khiri khan,12.2167,99.75,22.56,89,100,6.01,TH,1657671295
majene,-3.5403,118.9707,26.39,79,84,3.41,ID,1657671295
jiuquan,39.7432,98.5174,24.47,41,47,5.62,CN,1657671295
redkino,56.6475,36.2967,12.8,96,4,1.6,RU,1657671295
pontal do parana,-25.6533,-48.5128,16.74,87,97,2.77,BR,1657671295
axim,4.8699,-2.2405,23.97,80,100,4.22,GH,1657671295
djibo,14.1022,-1.6306,32.85,41,64,4.46,BF,1657671295
karpathos,35.507,27.2132,22.98,78,0,12.86,GR,1657671296
sao felix do xingu,-6.6447,-51.995,27.74,46,81,1.2,BR,1657671296
